,choice1,choice2,choice3
0,The dad in this makes me want to start my own cult. Anything available to give me tips on the occult lore for that?,"Confining and controlling someone is a pretty good way of showing you care, right? I'm in the mood for a love story next...","More weird dental hijinks, please! Got anything with a pedophile dentist in it?"
1,Some more Leonardo DiCaprio would be nice!,"Lighthouses are cool, but what really turns me on is windmills...","More seaside antics, but fewer rats please!"
2,"Wow, not a lot of women in that film. Got anything with Sophia Loren in it to clear the palate?",Too dry and dusty for me. Got anything in a damper setting?,I wish I were drinking a milkshake in Paris right now...
3,"Landlords suck! You can't get a landlord much worse than the one in this movie, right? I mean, right?","This was very loosely based on an opera set in Paris, and moved to New York, right? Got anything where we go the other direction and take a hard-boiled novel in the U.S. and set it in Paris with some of the genders flipped?",I love movies about blood-borne illnesses. Show me more!
4,Got anything else produced by Roger Corman? He seems to pick winners!,"If Mama Ramone gave birth to another one, what should she name him? Is Alphonse too provincial? Should she call him Ghislain instead? Let's reason this out.","There's no way some dudes as funny looking as the Ramones would have gorgeous women swooning over them in real life, right? Right?"
5,"Wow, poor people have it rough. How does it compare to having a disability though?","Not bad, but got anything with actual parasites in it?",That kid was pretty stealthy! Bet his skills could have been applied pretty well in wartime...
6,So who would win in a fight--a detachment of dismounted Cossacks or an equal number of grizzly bears?,"Okay, so now I have that ""In the Navy"" song by the Village People stuck in my head. Might as well roll with the homoeroticism...","My attention span is still shot. Got anything else relatively short, preferably in black and white?"
7,"""Springtime for Hitler"" is over. Is it hockey season yet?",Fraud is kind of old fashioned for me. Show me the newest innovations in organ harvesting instead!,I think that Bialystock was onto something. Even some younger women can agree there's something appealing about older women!
8,"It's probably best not to gamble with your health with untested treatments--or to gamble much at all, for that matter!","Sad that most people don't know, don't show, or don't care what's going on with mutagenic surgical technology these days...","Wow, it's interesting how much a motorcycle accident can really mess someone up..."
9,"Making a film is probably easy if no one is deliberately trying to make it tricky for you, right?",...And it's nice to see how calm and collected filmmakers can be in the face of hardship!,I suppose it's easier making a film than a blimp! 
10,Bet it would be easier to get that ship through the jungle if someone only had a steamroller!,At least no one drowned in those rapids. Safe boating is no accident!,"That was good but kind of long. Got anything by the same director, but maybe shorter?"
11,I'd love for someone to make a Klaus Kinski biopic with some old He-Man dolls. Got anything to tide me over until that happens?,"Good lord, what bit Klaus Kinski to make him such a nutcase?",I love Kinski's energy and impulsiveness. Too bad he never channeled that into being a federal agent and catching counterfeiters!
12,The stocking scene was weirdly hot for something this early. I'm in the mood to watch some cabaret dancers now...,"Call me a monster, but I kinda laughed at the part where the little kid got shot!","At the risk of sounding like a punk, FUCK the bourgeois virtues and outdated sexual mores of our society!"
13,This movie gives me the strange urge to watch 1990s hood films and early surrealist films in an endless loop for some reason!,This had some pretty intense imagery in it. Got anything a little lighter? You know...for kids!,Too much eyeball trauma! You know who's a little easier on the eyes--Alain Delon!
14,The chicken hypnotizer was pretty cool. So what happens if you hypnotize actors instead of poultry?,I'm a sucker for true stories with unhappy endings. Got anything like that where the actors are a bit more...plasti?,"Based on my viewing of this film, the Great and Powerful AI Algorithm thinks I would enjoy more movies about the fragility of innocence in the face of a complex and sometimes deceptive world!"
15,"Dracula is fine, but what really scares me is babbling zombies in a snowstorm!",The count was looking pretty pale and sickly. I bet a trip to Rio would do him some good!,"I love the part where the count looks at the crucifix and tells Jesus, ""Do your early stuff!"" Oh wait, that was a different film..."
16,Not enough strong female characters in this one. I want to see something where the women wear the pants!,Meh. Needs more strippers!,I do have a soft-spot for films that feature a pathetic man-child though...
17,I greatly prefer the sitar to the cello...,It just goes to show that sometimes two spouses are better than one!,"That was alright, but now I'm in the mood for some hot girl-on-girl scissoring action!"
18,Watching kinky stuff in your formative years can certainly warp your sexuality. Speaking of which...got any horror films with lots of full frontal nudity?,Nothing takes the sting out of corporal punishment like chasing it with some THC!,That kid should have tried bringing Dottie a charlotte russe cake with whipped cream instead of his amateurish drawings if he really wanted to get her attention!
19,"I know I should probably watch The Hudsucker Proxy next, but we'll put that off for awhile. Show me something with weird little dwarves instead!","Some of that jive talk was difficult for me to understand. Got anything where the characters are from somewhere people talk normal, like Boston?",Selling out is the worst thing someone can do. Stay bohemian! Fuck The Man!
20,Such beautiful scenery. Makes me want to watch something where people vomit parasites that turn other people into rapists!,Fata Morgana would be a great name for a soap opera character! ,A bit dry for me. Got anything in a damper setting?
21,"""Fishy fishy in the brook, Daddy caught you, now you're a hook-er!""","I feel like I should chase this with a doomed love story, but I'm going to need to ease into it with some gruesome atomic bomb aftermath footage!",Poor Billy never had a chance. I bet joining the army and some dietary changes would have cured what ailed him!
22,"Drag racing is fun to watch, but you know what else is a drag? Wittgenstein's views about the limits of language!",Got anything with more booze/tobacco/dope/pussy/cars? Feel free to throw in some guns as well!,Those racers must keep their guardian angels pretty busy!
23,Poor Carol. She just needed some good-looking guy like Alain Delon to sweep her off her feet.,...or maybe two good-looking guys!,...or maybe just some pudgy Russian dude with a port-wine stain on his head!
24,I think it's safe to say a lot of Dylan's cynicism came from being a product of the atomic age!,He definitely changed his demeanor and appearance over the course of his career!,"""Sleep? aint sleepin'... Sleep's for dreamers. I haven't slept in thirty days, man. Takes a lot of medicine to keep up this pace."""
25,A film about dirty cops is just screaming for someone to make a stage play out of it. Didn't someone do that with Serpico?,Nicolas Cage's quiet and understated performance in this makes me want to watch something by Cate Blanchett.,And the obvious Freudian aspects put me in the mood for something based on Oedipus Rex.
26,"Whether it's Bushido or the Bible, a man's gotta have a code!","The samurai may be all gone, but Western Civilization's not looking so hot itself.",Enough with the samurai cop stuff. Time for a good chick-flick!
27,Alcoholic cops are almost as bad as alcoholic pilots!,Just the right level of lurid...but could we ramp up the sincerity?,"This is fine, but needs more madrigals!"
28,It's fun getting a look at all the drama behind the scenes when films are being made!,Good to see talented people with ambition. Sad to think how many just hang out getting drunk around parking lots...,How about something with a few more crimes but less of the filmmaking...
29,That poor kid never stood a chance at being chaste with Sophia Loren across the way from him. I wonder if nuns have it any easier...,Enough pretty Italians. Show me some pre-meltdown Elon Musk bragging about how he's going to send people to Mars!,I have no doubt that Sophia Loren would fill out a bikini nicely...
30,Sometimes getting away for a bit on holiday is all it takes to change your life!,"Barring that, you could just stay home and look at postcards...",Or become a cat burglar. Probably a more interesting career path than being a domestic servant!
31,"Balzac was lucky to be around French-speaking people, considering that his name sounds like ball-sack in English. Speaking of which, got any French films that end on untranslatable puns?","I like all the artist model nudity, but what would be really cool is if someone read some feminist Marxist texts to accompany it!","Okay, the French had some pretty good sculptors, but how are they at engineering?"
32,Towers next to rivers are fine. But lighthouses next to the ocean are even cooler!,"Sure, the French can build towers out of wrought iron. But can they build titties out of sand?",This movie makes civil engineers look pretty glamorous. Got anything that does the same for concierges? 
33,"Joan's army was tough, but could they take on an actual full-sized Spanish windmill?","Joan was a great warrior and leader, but could she properly bread a veal cutlet?",Just goes to show that sometimes good things happen if you put someone young and inexperienced in charge of things!
34,Gotta admit I'm a sucker for a film with a funny-looking protagonist.,But sometimes it's great when the very gay director just uses the prettiest dude he could find!,"Actually, I kinda feel like just putting a couple of Serge Gainsbourg albums on and listening to those for a few hours. Got any silent films I could watch while I do that?"
35,Some boys are into grizzly bears. And some will nearly burn their houses down building a Balzac shrine in their bedroom. Consider me the latter type!,"So, ladies, would you rather drink arsenic or get ripped to shreds by a bear? I'd probably go with the arsenic, myself.",At least a bear would be a nice distraction from awaiting scary medical test results...
36,"Well, when the army sucks, maybe deserting is a better option. ","Downer ending, but he would have been facing capital punishment anyway.","That pondside murder-suicide would have made great fodder for a television tabloid show, especially if someone showed up to film it live!"
37,"I'm more of a homebody, myself, aside from occasionally running short errands. And I work from home... ",Why be a visitor to the moon when you can go to Africa and overthrow a king?,"Flying around in planes and rockets is nice, but don't neglect your wife!"
38,Bet those witches could put on a pretty bitchin' fireworks display if they started going stir crazy...,"I've heard witches kill babies, but Cossacks will do the same thing if given a chance.",I guess burning witches is fine if you don't have the option of tossing them in a volcano.
39,A slender gal like Karen would have made an awesome cat burglar!,A little too skinny for sex work though.,Let's see something different. Barbie dolls are for babies...
40,At least those prisoners had each other to keep themselves entertained. Solitary confinement can be pretty rough on a young man.,"The kid flying away reminded me of Peter Pan. Let's watch that next--or the closest thing to it that you have, I guess...","The pastoral scenes were nice, but those juvenile delinquents would be better suited for adventures in the wild if they had been doing boy scouting instead of committing crimes!"
41,"Too lighthearted! Show me something with more misery, preferably in a rural setting--with some possible incest thrown in!","Well, everything around that poor guy that could go wrong did go wrong. That'd be a disaster if he were a film director!",Holidays are for the bourgeoisie! No time for that nonsense until after the Revolution comes!
42,Lots of adventures to be had when traveling! Even a short getaway can be packed with action and (mis)adventures!,I'm a bigger fan of Munchhausen sydrome by proxy. Got anything with a baby in it?,"When you have to choose between the truth and the legend, choose the legend! "
43,I love films with a slash in the title! Show me more!,Oz is boring. Let's go bowling!,Let's follow the yellow brick road...and see if any cops tail us!
44,"Wow, conditions in that place weren't much better than in a POW camp!","Despite the name, this didn't have any actual titties in it...",Pretty good talent show considering it was put on by nothing but inmates and staff. Some people can do great work when challenged by such limitations I guess...
45,This film taught me that stealing bicycles is rad! Show me some more fun activities for juvenile delinquents!,"Antonio may have failed at being a provider for his wife and a role model for their son, but at least he's less disappointing than Frankenstein's monster!","Good thing they were in Italy and not Texas. There would have been no mercy, and some hangin' judge would have thrown the book at him..."
46,Any good social worker can tell you that's not a good environment for a baby. He'll be lucky if he doesn't grow up to end up on death row!,"Adult babies are pretty transgressive, but I'm really in the mood for developmentally disabled porn star rapists!","Isn't it a bit more normal for the person acting as babysitter to run off with the dad, not the kid?"
47,"Enough workers, let's see how the upper class live...",This would be more exciting with an alien invasion!,"Moscow's pretty, but it isn't as pretty as the mountains..."
48,"Russians versus Nazis is fun, but what I'm really in the mood for is Rockers versus Mods.",Poor Ivan never got to see much of the world.,Very tragic! Good thing children are a renewable resource.
49,"More dust, less goo please!",And maybe some dancing chickens!,"Gross, but honestly I've seen much worse on social media lately!"
50,The only way this could be cheesier is if they broke the fourth wall...,"Dracula's groupies were pretty hot, but I wonder how they compare to women in thrall to the Ramones?",Udo Kier was probably a lot easier to work with when playing Dracula than Klaus Kinski was...
51,Baron von Frankenstein had some pretty ambitious ideas. I love a man with a plan!,It's always a good idea to keep it in the family I guess...,"That Igor scene was pretty traumatic. If you got anything else like that to sit through, let's just get it out of the way now."
52,Not enough tribbles! Could we maybe get something with penguins in it instead?,Actually I want to see all the tribbles! Give me something completely wacky to watch...,I thought this was going to be the one with the whales! Can I at least have something with a shark in it next?
53,The eternal dilemma: I can't decide if I'm more in the mood for Jean Cocteau now...,...or Adam Sandler!,Cats are great at always landing on their feet. Wonder how they'd be on skis?
54,Enough of Spain. Let's check in on Kenya and Tanzania!,"Cervantes is cool, but I'm a bigger fan of Lewis Carroll. Let's go down the rabbit hole...and maybe to a haunted house!","Okay, here's a niche request. Got any movies where I can watch two guys move a bunch of rocks around?"
55,That meat looked really unappetizing. I'd mutiny if someone tried to feed me that stuff...,Cannibalism is but a mirage.,I'm ready for something a bit more Shakespearean!
56,I wonder what Klaus Kinski was like as a baby...,"I want an army of Amazons to stage theater productions with, but I'd settle for an army of asylum inmates instead.","An army of Amazons would be great, but an army of sassy flying monkeys would be even better!"
57,That cop could have been worse I guess...,"Less cops, more robots!","Less heists, more cannibalism!"
58,"Not sure if Stroszek or his friends had any cheerleader background, but a performing chicken could make a pretty good mascot!",Maybe Bruno would have fared better in the Foreign Legion.,Why rob a grocery store when you can get a good honest job in a slaughterhouse?
59,A talking cat beats a precocious genius child any time...you never age out of being a talking cat!,Too much Judaism! Give me something WASPier.,Let's check in on a butcher shop--preferably kosher or halal...
60,"""I loved it!""","""It was great!""","""I'm going to see it again and again!"""
61,"Those were great, but I think I need something different. How about a live-action cartoon?",Or maybe a musical interlude?,"More short films by oddball directors, please!"
62,Well that was bleak. I'd love to shut my brain off and just watch some exploding cannibal aliens for awhile.,"I don't mind a little darkness, but let's make it noir-flavored this time!",Got anything with Nicole Kidman in it? Preferably doing some imperialism?
63,"Maybe Greek tragedies are a bit much for young people to watch in their formative years. At most they should be watching spicy episodes of ""I Love Lucy""...",Forget the pizza. He should have asked for a plane.,That kid got a bit too much into Greek tragedy. But at least he wasn't some goddamn weeaboo!
64,"Less aliens, more nuns!",I can think of another man who came down from the Heavens to deliver a message to the people of this world...,That diving stuff was pretty cool. Makes me wonder how well dogs are able to swim...
65,Are we sure that poor guy didn't have any brain worms causing him to act like that?,These guys would have found more exciting ways to stay entertained in the hood. Just sayin'.,"If you're prone to being stir crazy, stay away from military deployments and nunneries!"
66,I heard a rumor that there's some version of King Lear directed by Godard. That sounds badass!,Do green ants dream of electric sheep?,Aussie accents are too hard to understand. Could I get some fake-Boston accents instead?
67,I hate seeing people locked up unjustly...,"Whether it's a prison camp or a boy scout camp, sometimes you just need to get away...",Wouldn't it have been safer to tunnel out of the camp?
68,I'm glad Dieter got out. I only hope someone can rescue southeast Asia from imperialism!,Too many Herzog movies lately. I'm ready for some Martin Scorsese!,The jungle looks scary but at least there aren't any bears!
69,"Looking in on those weirdos was upsetting. Makes me want to take a nice relaxing bath, maybe with one of my scuba toys!",Dracula's more sordid killings would be interesting to re-enact!,"I was going to suggest The Thin Blue Line after this, but it's not currently available in my region. Let's watch some Nazi-era fantasy instead!"
70,This plotline wasn't exactly written by Balzac. Just sayin'.,"Amateur actors doing micro-theater imitating people's dead loved ones sounds like a guaranteed sure-fire way to lose money, but you never know... ",I can't tell if those actors were part of a business or part of a cult...
71,I bet some kinky boots would have gotten that girl some more social media followers...,...as long as she didn't go and say something stupid and anti-semitic!,"I love the suspense combined with an anti-climax. Could I get something suspenseful and a little more traditional Hitchcockian, please?"
72,"I read that Babadook book too, but he never pestered me. Maybe he got stuck in traffic...",Some buddhists believe that everyone is reincarnated as a Babadook eventually!,"Single parenting looks rough, so it's probably good to have a spare dude around in case things go bad with the first one!"
73,The right footwear can attract a young woman a better class of suitor...,You know what pairs well with red boots? A red beret!,"If that shoe factory does well enough, they should expand operations...to the moon!"
74,Everyone needs a good father figure...and you can do worse than a firefighter!,Even carfuckers don't deserve the death penalty!,I heard there was a lot of gender-bending in ancient Greek theater.
75,I wonder how much those cool chairs would go for at auction...,I've hard that high fructose corn syrup does wonders for digestion!,Cronenberg movies always put me in the mood for uncomfortable sex combined with viruses and parasites. Got anything to indulge me?
76,"Polyandry, drunken debauchery, Lee Marvin and Clint Eastwood singing? I need an alien to make sense of this stuff...",So do Lee Marvin and Clint Eastwood do ballet as well?,"When I saw Lee Marvin was in this, I was expecting a little more...war movie action? Could we get something more like that?"
77,This wasn't even close to being a Dogme 95 film!,"Less singing, more dancing please!",Lots of drunken sailors in Jacques Brel's best songs...
78,Animated flappers are so outdated. I want to see some old people humping trash cans!,Short hair is a pretty good look on women though. Especially when they go full tomboy!,I wonder if Betty Boop had a difficult childhood...
79,God wouldn't like communists and intellectuals!,Did Jacques Brel have any songs about televangelists?,I have a soft spot for deranged old men!
80,Are there any conspiracy theories about ski jumpers?,I hate winter sports. I'd rather find a way to have adventures in front of my computer screen!,Even bowling is more exciting than skiing!
81,You don't have to be strong to swindle war widows out of their pensions!,I love feats of strength. Got anything with arm-wrestling in it?,So what happens if you don't have a brawny older brother to stop people from bullying you?
82,I heard that the tie-breaker for this competition is a dance-off!,Being a hit with the ladies can be fun AND profitable!,"Having a great smile is one thing, but what women really love is a fast car!"
83,"Trekking through the desert is great, but haunted houses are more my speed.",I bet Count Dracula would have given her a royal welcome!,All this imperialism just makes me want to put my fist through a Union Jack.
84,All this ecoterrorism was a good warmup. I think I'm ready for some full-on genocide!,Actually let's back down a bit and watch some colorful parades and costumes and musicians instead.,"Sex work is probably a little safer than dealing with eco-terrorists, but not by much..."
85,I'd rather be in Paris than stranded in the jungle.,This needed more spankings.,"If you're lost in the jungle, a machete would be a pretty handy tool. But if it's in the wrong hands..."
86,This seems like something spiritual enough to inspire someone to pursue a life of adventurous travel!,"Life is suffering, and the pleasures of the moment can lead to pain, and so the cycle continues...","Less Buddha, more Bushido please!"
87,Got anything with a longer title?,Modern technology all just seems like witchcraft to me!,"No actual Tenenbaums were interviewed for this documentary, but some of those interviewees had reputations that aged like milk."
88,"Those kids were pretty young, but the Army can be a pretty grand adventure if you're old enough to enjoy it and bring back souvenirs!",Bet Hitchcock could have made a pretty suspenseful film about child soldiers...,"Kids should be learning to play musical instruments at that age, not shooting rifles!"
89,Antarctica would be even cooler with sand-worms...,Being trapped in a POW camp in Antarctica would be awful. Southeast Asia would be bad enough!,Gambling would be a pretty good way to waste time when faced with those cold endless nights!
90,"Those doctors are lucky to get a Herzog documentary immortalizing them, but a Bob Dylan song would have been even better!",What's the point of flying around like that if you're not even going to do any crimes?,Bet they see some interesting parasites in that part of the world! But things can be just as bad in Canada...
91,Bet the thin air would make it hard being a high-altitude auctioneer!,"Chucking wood is great exercise, actually. A lot more fun than hauling rocks!",I hate when people read poetry too fast. No need to rush...
92,"Too bad those kids aren't in some soap opera universe, where even decapitations can be overcome and brain transplants can be performed in restaurants!",This is some bleak-ass Herzog. I need something different. Play me some Dylan instead.,Actually I'm not done being depressed. Show me how bad nuns used to have it!
93,"If you pray hard enough, you'll never need an umbrella to stay safe and dry!",I bet Huie would have plenty to say about bad parenting...,"Thoughts and prayers are great, but having actual doctors show up to help people is even better."
94,So how does homosexuality work at high altitudes?,Are there stray cats in those mountains? I heard those can be really dangerous!,Those mountains are pretty scenic. They'd look great on postcards!
95,Did Bruce ever make it to any futuristic robot cities?,I bet he never ran across any cannibal aliens either!,Forget dinosaur skins...I want an airplane! Vroom vroom!
96,Let's see some more Herzog...but throw in some Klaus Kinski to make it spicy!,"Actually scratch that, time for some Godard...",I changed my mind. Got anything with Madonna in it?
97,"Real life criminals are sad, bleak, and often a bit boring. Let's see something a little more noir-influenced!",Why not just send death row prisoners off to life in prison in Antarctica instead?,This documentary would have benefited from a catchy theme song. 
98,I love a good festival. Let's do Carnival in Rio next!,Actually I need a break from color. Got any chiaroscuro for me?,I can't think of anything better to chase all these colorful Indian festivities with than a Holocaust documentary!
99,I love seeing people get that excited about aircraft!,Wait...there's a King Lear version that's directed by Godard AND has Norman Mailer in it as Lear? Why have I not heard of this?,Oh the humanity! I bet Balzac or Flaubert would have a field day making a story about these guys...
100,I wish we could ship some of our more obnoxious pundits and tech bro messiahs off to Siberia!,Siberia is a bit remote. Maybe just a convent in the Himalayas.,Those pieds-noirs who fled Algeria were definitely NOT happy people.
101,"As with Vissarion, Rasputin, or any other Russian mystics, beweare of a Holy Whore!",I'm ready to sink in my couch and watch a few hours of Sergio Leone now.,"Actually, got anything with dirty cops but without Harvey Keitel?"
102,"Madrigals are nice, but I'm ready for a full concert.",Actually I could use some Owen Wilson about now to clear the palate. Luke can come along too I guess...,Herzog docs often put me in the mood for Godard not-quite documentaries. Got anything that will thrill me?
103,So does King of New York outrank President of Russia?,Gorbachev did wonders ushering in the declining Soviet Union to a new era. Wonder what he could have done for an ailing rave venue in Manchester?,"No more godless communists, please. Show me a real man of God!"
104,"Blood is thicker than water, but is it thicker than lava?","In the grand scheme of things, getting killed by a volcano is pretty fucking punk!","If lava flows over your shoes, they may be red for a moment, but not for very long!"
105,"How about some more Herzog, but less short and more smiley!",Or maybe a break from Herzog is in order. Sterling Hayden in a heist film might clear the palate a bit.,Or we could split the difference and watch some weirdos filming themselves meticulously recreating crime scenes for unspecified reasons!
106,I'm sad this didn't have a catchier theme song.,This film is so late seventies. Got anything 1980s flavored? Bonus points if it reminds me of Miami Vice!,"""I hate the way your muscles glisten as you bury people's pets..."""
107,Seeing all the turkeys makes me want to see something at least partially set in Turkey!,Bet you could shoot a lot of turkeys from an airship!,"Could I get close to the water but far, far away from the Florida panhandle, please?"
108,The Babadook was framed!,A talking cat would be a great alibi witness!,"Great documentary, but needs more deranged suicidal penguins!"
109,Lesson twelve: don't go into a hotel room alone with Colonel Kurtz and a stick of butter!,Eleven concepts is a lot to keep track of. I think I could handle five at most!,Someone needs to remake this with a bunch of G.I. Joe dolls...
110,"Yeah, I'm going to need a chick flick after this one.","I'd love to see a sequel where Dith Pran teams up with some crusty old lawman to bring Pol Pot to the Hague, dead or alive!","Pol Pot sucked, but let's check in on some of the rich elitist pricks that inspired his campaign of terror."
111,I wonder if there's some sort of merit badge for growing your own corn...,Is early Godard this corny?,Only terrible parents would feed all this processed food garbage to their children!
112,Sometimes spying on women through peepholes in the wall isn't the worst thing a person can do.,Madonna has been around long enough where she's considered nostalgia. Show me some stuff by THE material girl!,I miss the old days when Coca-Cola still had real sugar in it instead of corn syrup...
113,Lots of very tasteful and understated fashion choices in this movie! Show me more!,More color! ,I SAID MORE COLOR!
114,"Once upon a time in America...we had a team that could beat the USSR! Tell me more about the good old days, Grandpa!",So...is there a special cemetery for hockey players?,Hockey is a nice manly sport! I bet it's a good way of curing the gay!
115,"That was a nice interlude, but I guess we can go back to the world of scheming yuppie scum!","Cartoon Kim Basinger is pretty hot, but she's got nothing on flesh-and-blood Pam Grier!",Too bad Bruce Chatwin never made it to the Cool World in all his nomadic wanderings...
116,Just goes to show that it's always best to consult your concierge about travel times when setting an itinerary!,A bit too epic for me. Got anything with smaller stakes?,"Nicely apocalyptic, but I prefer my apocalypses with a side of radioactive pteranodons. What's the closest thing you've got for me?"
117,Murdering people with swords or machetes is kind of an odd thing to do in our modern world...,"Anyone who runs a hotel can't be all bad, I guess...",Are there deserts in Rwanda? My geography is pretty bad...
118,"As the name suggests, that was pretty loud and chaotic. Bob Ross is a bit more my speed...",What have we learned? Always be honest with your financial paperwork. White collar crime can get you into trouble!,Knowing martial arts is good for young ladies dating strangers. You never know when you may need to defend yourself!
119,More sand please!,"Jodorowsky could probably do a pretty good job telling something a little more focused than Dune, like the adventures of Baron Munchhausen!","On the other hand, I really do NOT want to see Jodorowsky adapting anything by Elmore Leonard!"
120,Those poor pooches were facing a pretty hopeless situation. Kinda reminds me of the whole Kobayashi Maru thing from a certain sci-fi series from the 1960s...,I bet a clever advertiser could figure out some brilliant way to use experimental test animals to sell acne medicine,It's a rough world for a dog. Having a good human companion is almost as important as it is for a boy to have a good father figure...
121,One confident young woman bossing two men with very different personalities around is an interesting dynamic...,"Meh, needs more aliens.",Vengeance can be a pretty powerful motivator!
122,"We're off to meet the wizard, the wonderful wizard of the Kremlin!",I wonder what the rehearsals looked like when The Wiz was still in development before it hit the stage...,"It's good to be The Wiz, but everybody's gunning for you, especially when there's a poppy epidemic..."
