,choice1,choice2,choice3
123,Drug debts can sure get you in a mess if you're not careful!,"This movie was good, but decidedly lacking i horny, squabbling nuns!","If you're going to do crimes, it's best to keep things within the family!"
124,"Los Angeles seems like a fast-paced, violent place. Florida is more my speed!","Living on the edge in Los Angeles can be stressful, but is it really worse than middle school?","Would you rather burn to death or go to prison? Well, what if it was a really horny prison?"
125,"Some people handle stress very, very poorly!",I bet women can handle stress a bit better than...that! ,"Uh, let's check back in on the criminals. They gotta be better behaved than the cops!"
126,The best thing about being King of New York is not having to pay rent!,"Frank may have been a drug kingpin, but at least he wasn't a slimy backstabbing yuppie!",I'd rather get laid in Hiroshima than rule in New York!
127,"I prefer my gangstas many shades whiter and with thick Boston accents, thank you very much!",There's nothing gangsta about stabbing some poor weird feral kid.,All this toxic masculinity! Couldn't they just have a beauty contest instead?
128,Dawn Weiner would probably have been more popular if she could just learn to shut up and be pretty...,Poor Dawn. At least she didn't have any creeps stalking and mimicking her...,Hooking up with other outsider weirdos probably would have been good for her. Plus I bet she'd be good at splicing film with those long fingers.
129,"Whether you're a gangsta in South Central or some idiot rave kid in Manchester trying to make an album, stay away from crack!",I do love films that have a tragic shootout at the end!,This movie gives me the strange urge to watch 1990s hood films and early surrealist films in an endless loop for some reason!
130,"Alcohol and drugs can be dangerous. One minute you've got a good buzz, and then later you wake up hungover and you've bought something stupid at auction...like a wife!",I've heard some strains of weed can make a person more creative...,I've also heard marijuana can be good for digestion. Is there any furniture that has the same effect?
131,"If teaching kids dance doesn't pan out, she could always get a job in a pet cemetery!",Too bad for Frances that someone already took the one job in Paris that was available for experimental dancers/choreographers...,The retro black and white made me feel like I was watching a French New Wave film!
132,Getting out of poverty in Watts seems almost as hard as escaping a POW camp!,Interesting peek at the lives of African Americans in Watts. Let's see what things were like for LGBT people in Tokyo in the 1960s next!,Or we could look in on a small theater company instead...
133,I can see why a young person might want to move away from a place like Muncie to try their luck in the city!,"Sometimes putting a new person with radical ideas in charge can work out well, whether you want it to or not!","I know I should probably watch Putney Swope next, but for the moment at least let's listen to some gypsy jazz!"
134,Sadly this isn't even close to passing the Bechdel test. Show me something featuring female friendship!,A bit disappointed--I thought this was going to be the animated one!,Got anything else German but a bit noisier and more modern?
135,"So what would have happened if she had just clicked those red shoes together a couple of times while saying ""There's no place like home?""","I don't often say this, but...less ballet, more genocide, please!","Don't ask me why, but I think a low-budget Psycho ripoff would be a nice chaser for this!"
136,Someone should have asked those nuns their opinions on current events!,Those nuns would have more time to fool around if they could read their daily prayers a bit faster!,It felt a bit claustrophobic in that abbey. Show me something where the characters travel a bit more widely!
137,That guy would be a very poor maker of documentaries about women!,He needed to be less of a creep and maybe hit the gym.,"I'm fine with a bit of horror, but I prefer haunted houses to slasher flicks!"
138,I feel bad for whoever has to clean up all that parasite vomit orgy mess!,"Sometimes people don't even need some disgusting parasite to make them run around fucking each other, though they might be more surreptitious about it if they aren't infected!","Less body horror, more Cold War paranoia!"
139,Rich people suck! Show me some virtuous poverty instead!,This film certainly had some questionable medical practices in it...,"Robert Pattinson is pretty, but is he Antonio Banderas pretty?"
140,Bond traders are assholes. I'll take a good civil engineer over ten of those every day!,Even sailors are more tolerable than yuppies!,"Which is scarier--the south Bronx, or rural Canada during a snowstorm?"
141,Why travel the world when you can have adventures on social media in your own bedroom?,"Travel sucks. If there's one benefit to being handicapped, it's that no one minds if you're a homebody!",I guess age gap relationships are fine as long as no one is secretly related!
142,"Show me more tense, stressed-out women please!","If you have two hours to kill, don't watch a Rivette film. Most of them clock in around three hours or more!",A Talking Heads concert is just the right length if you have some time to kill in the evening.
143,Singing for ninety minutes is one thing. Could they keep it up for almost thirteen hours straight though?,I heard Christopher Walken has a musical theater background. Let's watch one of his films next!,Enough prancing around by the seaside. Let's head back to Paris!
144,I'm not sure what I want to watch for the next one. You pick!,"No, seriously. I'll watch whatever.",I can't decide and I always have to pick. You pick the next one!
145,"Feeling the gay here. Send me over the rainbow, baby!",Um...got anything a little less gay?,Or at least with more gore?
146,Bad parenting leads to bad outcomes. Your kid could end up in a mental hospital!,"Or worse, a philosopher!","Or if it's a girl, she could end up swinging on a pole or being an artist model or something!"
147,That kid needs some better hobbies. Nothing too creepy or weird though...,That poor Antoine will never amount to anything. I certainly don't see him becoming a doctor or pilot or anything useful...,"Poor kid. Get ready though, there's plenty of heartbreak to be had even when you grow up and get married!"
148,"How about instead of having two boyfriends, you just have one but he's a vampire?","Love the song in this, but bet she'd be even more of a hit with the guys if her voice was a bit squeakier and her looks a bit more flapper-ish...","Jules and Jim and Catherine were pretty connected, maybe overly so... "
149,Sometimes it's fine to be a bit sloppier than Hitchcock...,Did Hitchcock ever hypnotize his actors?,"I have pretty bad vertigo myself, so even getting on the roof of a convenience store would be pretty suspenseful!"
150,Who needs a piano player when you can dance to the jukebox?,"I was waiting for some rich handsome man like Alain Delon to sweep her away, but this is not Pretty Woman. ",I wonder how many girls have turned tricks for Ramones tix.
151,Pretty fancy place they were living in--anything else to watch for decorating ideas?,I save my contempt for rich people getting prostate exams in limousines.,"Having to suffer someone's contempt is bad, but at least it's not death row!"
152,Dawn Weiner will be first against the wall when the revolution comes. Down with the Weiner Dog!,So is Serge Gainsbourg considered Gainsbourgeois?,All those little red books put me in the mood for some cranberry juice!
153,"I'm going to have to go find something to listen to so I can keep that damn theme song from getting stuck ib my head. Thanks, Fallout New Vegas! You pick the next one!",I'd love to watch something with more crabs in it...,"When women wear the pants, they get to set the Rules of the Game!"
154,Ski-jumping over asphalt would be a terrible idea!,I bet Sterling Hayden was better behaved on set than KlausKinski!,Every heist team needs a talking cat!
155,Needs more Madonna.,"That ""Rififi"" song was kind of a banger, but Belle and Sebastian is more my speed...",Or maybe some gangsta rap would be better!
156,Bob the Gambler has a nice ring to it. Much better than being known as Bob the Pervert or Bob the Jew.,"Great vibe, but would be even greater with some Cold War paranoia thrown in!",Bob wasn't cut out for heists. Maybe he'd be a better ad-man...
157,No one likes a rat. Unless you're from Baltimore!,Snitches get stitches...but not in the eyeball!,Enough hard-boiled noir stuff. Give me a feel-good Adam Sandler film!
158,This movie passed the Bechdel test! Let's celebrate by watching one that will be a slam-dunk on that test!,"Sometimes thieving pays off big, but sometimes it ends in humiliation...",How much are flights to Algeria?
159,It's all fun and games until someone ends up with a plate in her head,"Aside from the war footage, at least no one actually exploded in the end!","Those gals recovered nicely from losing their limbs. Sadly, that wouldn't happen in real life."
160,Not sure what lessons I'm supposed to take away from this. Maybe Robert S. Macnamara can tell me!,I can appreciate a man who knows how to apply makeup!,"Straighter and less Oedipal, please!"
161,"Pomegranates are tasty, but what I really like to eat is flowers!",Did Lady Gaga ever do any videos based on the style and fashion of the Babadook?,Gotta say the percussion in this was kinda rad...
162,"This was fine, but my musical tastes are a little more Cab Calloway...",Japanese culture is also pretty fascinating...to a point!,"If we ruin the environment through climate change, everyone is going to find themselves doing a lot of Roma-like migration..."
163,I hate the way you make poor travel decisions...,I hate the way you act just like my deceased father sometimes...,And I hate that you won't just shut up and be pretty!
164,"Cher had a pretty strong moral code and she meant well, even if it got her in trouble sometimes.",Giving Brittany Murphy a glow-up isn't exactly as difficult as towing a steamship over the Andes!,"I wonder what Jodorowsky's ""Emma"" would look like..."
165,I think I need to watch something a little more gangsta than this next.,"Those two were a cute couple, but they're no match for Sophia Loren and Marcello Mastroianni","Okay this was artsy and all, but I'm ready for some cartoon titties."
166,I would love to see Klaus Kinski liberate those camps with an army of amazon women!,Holocaust documentaries always put me in the mood to watch a Talking Heads concert!,"Okay, I need something less depressing. Let's punch the whimsical button really hard and see something animated that was directed by Wes Anderson!"
167,Neo-noir is not my cup of tea. Got anything written by Jane Austen?,Show me more films about thieves!,That David Bowie song made me nostalgic...let's check in on the 1980s punk scene!
168,Is stealing a car against the rules of the game?,The bear was nice. Are there lions and tigers too?,Another good rule of the game: it should not be your custom to go where you are not invited!
169,All the angels in the world aren't going to save us if we screw up the environment!,Let's check back in on that Antione Doinel fuckup. I can't imagine his guardian angel hasn't ragequit by now...,Brittany Murphy had the face of an angel...
170,No one likes a rat!,"Lower stakes, please. So is that poor Antoine Doinel kid doing well with the ladies?",I bet some of the guys fighting on the other side in Algeria had interesting stories too...
171,At least they weren't dumb enough to film their own crimes!,Love the Mark Mothersbaugh score. A catchy song or two can make or break a film!,"That Dignan was a good strategist, but he's got nothing on that Khan Noonien Singh fellow!"
172,I do love a good coming of age story!,Young people need healthier hobbies than mopeds and drugs. Why not try wrestling or ice skating?,Sometimes it's better to keep troublesome teenagers close to home so they stay out of trouble!
173,That was intense and sad. Can we get a love story next?,"Okay, so what's the vulpine equivalent of Alain Delon? I imagine George Clooney would do his voice...","OAS terrorists are pretty bad, but off-Wall Street finance bros are just rage-inducing..."
174,"Travel is broadening and is a good way to meet new people, even if you're cranky about it.",An angry god would not approve of these close female friendships!,Female friendship is great...but what I really want to see is Ray Winstone's dick!
175,"Well that was depressing. More depressing, please!",So do young women still have it that rough?,I'd rather see Anna Karina in something more flattering than a nun's habit...
176,Celine and Julie would make great detectives!,This was just the right amount of twee for me. Now I'm in the mood for some Wes Anderson!,Sometimes breaking into a house like that can have tragic consequences...
177,Someone should set that Boojum letter to music...,At least none of those co-conspirators blabbed to the cops.,In the time it took to watch that I could have watched like four hockey games!
178,"Enough girls in the nude, lets get some boys in the hood!","That was surprisingly boring. This may sound like a weird request, but...less nudity, more watersports!",I'm going to need a lot of nun action to recover from all that full frontal nudity.
179,I like this French New Wave stuff. Can I get a sample pack to go please?,That love wasn't THAT crazy. Show me a movie where someone fucks a car!,...or something with some sibling-on-sibling shoulder licking!
180,Constantly having to pick the next film is stressful.,Can you pick the next one for me?,I promise I won't complain!
181,"I just watched a woman silently do chores for three hours. I think I have the attention span to watch an hour of burning Gulf War oil fields, mostly without comment...","So is it better for your mental health to hold in your emotions and let them all come out at once, or to express them frequently and dramatically?",Needs more toesucking.
182,That family was pretty crazy. Throw in a talking cat and you'd have the makings of a great sitcom!,The Dad in this looks like he'd be a good film director. I wonder what his first full-length film would look like...,Those people were kinda trashy. Show me someone with a little more wealth and taste!
183,Wes Anderson is a pretty strong flavor. Let's do some Tarantino next for a change of pace.,At least Margot Tenenbaum wasn't putting cigarettes out on people's wrists!,It sucks when parents fail to set a good example for their children...
184,Perusing the want ads seems like a good way to run across conspiracies and conspiracy theorists...,Madonna is just a material girl. Now Peter Falk...that guy is a true angel!,"Not bad, but needs more slapstick!"
185,That beret would look great on a Tokyo drag queen...,I love a good coming of age story!,"Fast talking can get you out of a lot of jams, and you could do worse than having Bill Murray as a mentor!"
186,"It didn't seem like a good idea having that guy in charge of things, but I guess it worked out in the end!",Piracy on the high seas really is a menace to society...,I wonder if Wes Anderson's quirks can be traced to some seminal film that greatly influenced him!
187,Are there any trains that run to the Cool World?,"Remember that if you start to overdose on Wes Anderson, you can always come down with some John Waters!",At least none of those brothers got framed for a crime they didn't commit!
188,A woman is a woman even if she has hot dog fingers.,Is a woman still a woman if she's a married woman?,"Meh, needs more watersports."
189,"Shorter and grittier, please!",That hotel looks like it would be a good weekend getaway...,At least if it hasn't been totally invaded by yuppie scum!
190,That scene with the wolf in the moonlight made the moon look like a nice place to visit.,Wes Anderson doing Roald Dahl is pretty tame. What happens if you let Jodorowsky have a crack at Frank Herbert?,"This was fine, but I'm more into old-school animation..."
191,Lots of toxic masculinity here. Got anything with a literal dick-measuring contest?,"Dirty cops are kind of my jam. Got any more of the same, but set in New Orleans?",Got anything equally long but less action-packed?
192,"Two guys and a girl would make a great band, but they'd probably make the girl play bass...",Spending three hours watching someone paint a single painting makes me understand why someone might prefer doing a speed-run of The Louvre...,"Weirdly enough, I'm in the mood for a good baseball movie after this!"
193,How ya gonna keep up down in Muncie after they've seen Paris?,I'll never understand dudes who like aviation more than women...,A married woman is no match for a strong enough man!
194,What kind of parents raise a girl who ends up getting mixed wup with gun smugglers?,More French New Wave please...but shorter!,Bet they'd have gotten off easier if they had stuck to white collar crime!
195,Staying quiet is actually pretty important if you're secretly living in someone's house!,"Shut up and be pretty, or be loud and learn kung-fu!",Nobody ever told Joan of Arc to shut up and be pretty...
196,A good scout never performs illegal surgeries!,Glad suzy didn't just shut up and be pretty like her parents wanted.,That Francoise Hardy record put me in the mood for some French New Wave! 
197,MAKE IT!,MAKE IT!,DON'T FAKE IT!
198,"If you're a woman with some time to kill while you're waiting on something, don't waste it flirting with a serial killer!",So what happens if you choose the bear instead of the man?,I wonder how this would be as a Sweeney Todd-type musical...
199,All the creepy virus-y sex in this made my skin crawl. Definitely not following this up with anything by Cronenberg. Maybe something nice and dumb with racecars...,Teenagers are terrible. It would be nice if a parent could just hit fast-forward and skip the awkward years!,The 1990s HIV paranoia makes this squirmy enough. Imagine how bad it would be with fast-acting body horror parasites instead of AIDS...
200,"Too tense for me. Something with a ""Limousine Ride to a Haircut"" sounds more my speed.",Or maybe a Rocket to the Moon would be more ambitious and inspirational.,It's all fun and games until someone finds the dead bodies and/or photographic evidence you carelessly left laying around!
201,I love the black-and-white retro feel of this!,"Actually, I'd love to see something more colorful and Armenian...","Actually, show me an invasion of possibly-benevolent aliens instead. I have some survey questions I'd love to ask them about current events!"
202,"Okay, I'm straight now. Back to unsatisfactory heterosexual relationships!",I heard having a good blue-collar working man role model in one's childhood does wonders for keeping away the gay!,Watching some early French New Wave shorts is a good way to figure out gender-appropriate ways of behaving!
203,That was...a bit abstract. Could we maybe see a meat-and-potatoes story about some historical figure instead?,It would be interesting seeing Norman Mailer try to play Russian faith healer Vissarion...,I was hoping for more outrageous fashion stuff from a film made in the late 1980s...
204,Some people think Godard jumped the shark with this one...,Being a prostitute as your fun-money side hustle while your husband is at work seems like a sure way to pick up a blood-borne illness!,Sometimes people can get so trapped in their gender roles it can feel like a concentration camp!
205,"If you're going to kill your parents as part of some harebrained scheme to get your hands on their money, at least do it by accident!",I wonder how the traffic is in the Florida panhandle this time of year...,Cannibalism is a bit much. Doesn't anyone just do plain old vampirism anymore?
206,"Whether we're talking music or meat, it's always interesting seeing how the sausage is made!",I think a Rolling Stones documentary now would probably be just a bunch of senior citizens humping trash.,"Mick Jagger is charismatic, but he's no Vissarion!"
207,It's all fun and games until someone loses an eye!,Impulsive man-child with big dreams? Someone give that man a moped!,Poor anger management is a good way to end up locked away in a mental hospital.
208,Jane Fonda seemed a bit stressed there after her experiences covering that strike...,Wildcat strikes are a gateway drug to sabotage and eco-terrorism!,At least it was a sausage factory and not a pet cemetery!
209,The factory sounds from the start of this movie are a treat for the ears. I wonder what a slaughterhouse would sound like...,Love the chaotic parts. Got anything with really messy eaters?,"After watching this, I'm convinced that the Dahomey Amazons would benefit from having a labor union!"
210,So did the paratroopers in Algeria ever jump out of blimps?,This had so much potential for slapstick hijinks but never delivered,"Okay, the OAS suck, but they got nothing on the Khmer Rouge..."
211,It's always heartwarming to see two creepy French idiots somehow manage to be a hit with the ladies!,"Forget the Army, just join a hockey team instead!","If you're an unskilled young person, there are two places always willing to hire fuckups and train them up to do something slightly better: the Army and fledgling punk rock bands!"
212,Those young punks could use some discipline...bet the army would sort them out!,Wonder what the distance record is for the longest stage-dive?,Wisconsin seems like a pretty good place to travel to watch the decline of western civilization up close!
213,That Germs burn thing would be a great idea for cult initiation!,"You know what's really punk? British imperialism! (Okay, I guess that's not very punk at all but that's what's next!)",Love the Germs logo. Nice and round--reminds me a bit of a mandala...
214,I do love films with a strong young lady as protagonist!,"I like Godard's ""Weekend"" better. Show me something with more despicable people, some clowning around, and a bit of cannibalism!",Travel seems like a pain and inconvenience. They could have avoided a lot of this mess if they had just stayed in Paris.
215,Needs more madrigals.,"It's nice seeing a man pursue something he's passionate about, whether it's a girl or a shark!",Maybe Antoine should have written Colette a fan letter...
216,Maybe those punks would have fared better in Wisconsin!,Those stray dogs looked pretty ragged. Wonder what their story is...,"In Soviet Russia, hooligans like this would have been shipped off to Siberia!"
217,I think God would be angry at the boorishness of most of these slackers and backsliders!,Probably better off dying in a volcano than on the roof of a convenience store...,Those young men need to come up with a solid plan for breaking out of their rut and making it big!
218,An ankle bracelet is the ultimate punk accessory!,Kids like Eugene who are good at mechanics and sneaking around would be great in the Army!,Better being housebound than being stuck in traffic for ages and ages!
219,This didn't do it for me. Maybe a rockumentary would be more my speed...,"Living near family members can be stressful, especially when your neighbors are also weirdos!",Got anything else by Chabrol? Preferably with some serial murders...
220,"It's a bit inspiring to see someone stick to their ideals, even if it doesn't personally go well for them!",Glad Tony Wilson was willing to take a gamble on Manchester music. I love a gambling man!,"Well, we found out what Boethius would think about the Madchester scene, but what about Ludwig Wittgenstein?"
221,Why would those women settle for hanging out with those two childish dopes and a killer when they could be hooking up with Alain Delon?,Better off working in an appliance store than a sausage factory!,Hopefully none of those women will be pushing a baby carriage any time soon...especially down the Odessa Steps!
222,"When I saw Belle and Sebastian were involved, I got excited. but not a Saint Bernard in sight. Got anything with actual dogs?","Indie Rock is fine, but I still prefer the Stones.",That main dweeb reminded me of someone. Maybe one of those IBM whiz kids...
223,"Enough showgirls. I want something short, German, and weird.","Hope that poor neighbor girl doesn't get put into juvie after running away, or we could have the makings of an Antoinette Doinel!",Some cannibal aliens would really spice this film up!
224,So where does Last Tango in Paris fit in with the Antoine Doinel films? Is it before or after this one?,"All these films set in Paris are great, but what's the deal with that big TV tower thing we keep seeing in the background?","Alright, Truffaut is honestly pretty charming. What did he think of Hitchcock?"
225,I bet Antoine Doinel would be uniquely bad as a police officer...,"What have we learned here? Well, probably not as much as we could have learned from the Vietnam War...",I can't believe Antoine Doinel still has both his eyes and all of his fingers after all the trouble he manages to get into on the job and off!
226,"Enough smoke aliens, show me some quirky animated foxes!",Using mahjong with those aliens was dangerous enough. Wonder how badly things would have gone if they would have taught them Monopoly...,Pretty sad to know your kid won't make it to their thirteenth birthday. Just goes to show what an ambitious leap of faith Linklater made with his child actors...
227,Those capitalist pigs will be the first against the wall when the revolution comes!,Jonah Hill's character marrying his cousin sounds like kind of a bad idea...but I know cousins can be pretty close sometimes.,"After such a dramatic crash, someone needs to go back and sort through the wreckage."
228,"Sometimes it's nice to catch up with someone from your past, especially if they're up for getting a milkshake or going bowling!","You know, this kind of reminds me of that Star Trek TNG episode ""Shades of Gray"" where Riker gets infected by the alien parasite and the only way to save him is to force him to relive his memories in the form of clips from earlier episodes!",This would make a great children's book! (Or at least you could do worse...)
229,Glad to see Tre get the condom talk from his dad. Not a good idea to go carelessly knocking women up!,Got anything else with a kid being shot for stupid reasons?,Why do a drive-by when you can go turkey hunting instead?
230,Please tell me that kid doesn't just end up back in his hometown standing around the convenience store parking lot after he graduates...,Patricia Arquette looked pretty frazzled. Bet she could have used a few sips of sedative-spiked gazpacho...,Linklater should know it's all fun and games until they grow up and discover drugs and turn into slackers...
231,They shot a lot more than just piano players in the Holocaust...,"This was very...atmospheric. I can see why someone might be attracted to the dark glow of the mountains, or even the streetlights...",Shooting the piano player seems a step too far. Could we maybe just bully the violinist instead?
232,Nicely done. This calls for a celebration in the form of weirdly staged Jacques Brel songs!,They should have been using that radio station to broadcast Maoist propaganda!,They did a good job fending off a siege of demented Canadians. I wonder how they'd do against an invasion of Brad Dourif aliens...
233,"""Que heavy eres, Ludwig!""",I bet Cher Horowitz would have some glib answers to some of the questions posed by Wittgenstein!,All this philosophizing really makes me want a bagel.
234,"Keep eating a corn syrup heavy diet, David, and eventually you'll fit into that suit!","""Psycho Killer, qu'est-ce que c'est?""",So were all those roadies and stagehands unionized?
235,"Welp, that was uplifting. Maybe we could watch something a little more kid-friendly instead?","I need something different. German is fine, but maybe shorter and a little more uplifting?",Seeing them move those rocks back and forth is a good reminder that endless tidying for others can be bad for your mental health.
236,Welp. At least there was no actual cannibalism.,"That ""butter"" scene was kind of intense. I wonder what that was like to film...",I bet Brando's character could have used some sort of theatrical grievance counseling to cope with his wife's death...
237,Lots of bad blood on that film set.,I'd rather be trapped in an elevator than stuck in a room with Brando and Bertolucci.,Let's keep up the theme of bad things happening to bisexual young women...
238,Can faith healers cure gangrene?,Drinking poison seemed a bit dramatic. Couldn't she just have joined a nunnery?,Setting off fireworks can be good stress relief too!
239,"Nice seeing how everyone on a film set has a specialty, and if things go according to plan everything pays off like a lucrative jewel heist!",I'd love to take a look behind the scenes at a fancy hotel next!,I bet there's plenty of drama to be seen if you take a close look at fancy private schools as well...
240,Soap opera plots can get pretty crazy. But sometimes eighteenth century literature can be even crazier!,Nothing like a sword or knife attack on a relative by an unhinged person to liven up a plotline!,Elisabeth Shue's character grew up pretty well-adjusted despite having an absent mother. I'm sure some other families don't fare that well...
241,"The pervert sex maniac brother was a pretty extreme example, but it's pretty common to have difficult siblings...","Sometimes it's good to peek in on what other people are doing, but maybe it's best not to get too involved...","As weird as it is, this movie is so colorful and visually stimulating. More along those lines, please!"
242,"If I were that kid's parent, I'd go into hibernation and see if she grew out of that obnoxiousness!",It's all fun and games when most of the city loses their minds and hijinks ensue--until they start babbling nonsense and vomiting blood!,Nice to see a young lady having fun running around the streets of Paris!
243,"""I hate the way you crawl out of sewers, and the way you cut your hair. I hate when you bite people's fingers off and make everybody stare!""","Those limousines are symbols of western decadence, and they'll be the first against the wall when the revolution comes!",Seeing someone act as a one-man guerrilla theater company is pretty inspiring. Maybe I should start my own band!
244,I'm actually really glad Klaus Kinski was not in this movie...,Watching that kid for three hours was not easy on the eyes. Time for some Alain Delon!,"Enough uncomfortable sex scenes with young actors! Let's watch something wholesome, maybe with some music and dancing!"
245,"Pepa's husband was kind of a shithead. Speaking of which, let's check back in on what Antoine Doinel is doing!",The car and motorcycle chase at the end of this gives me the need for speed!,Nervous breakdowns and love affairs can probably complicate film productions in unexpected and unpleasant ways...
246,Antonio Banderas has the face of an angel...but he's no Peter Falk!,It would be nice to have a maid for those times that you're too tied up to do any tidying!,This was a bit too slow-paced and contemplative for my taste. Got anything with a little more zip?
247,Sometimes when people accidentally kill relatives they don't get off nearly so easy though...,I hope the grandma and the dope-slinging son have a happier life in a rural setting!,I have a feeling God would be angry at a lot of the things that went on in this film!
248,"The dick-measuring contest in this taught me that everyone across the political spectrum, from leftist punks to Nazis, appreciates a big strong virile man!",Were all of Almodovar's early films this weird?,"Really loved the fashion in this movie, but what those girls really needed were some quality footwear!"
249,That was somehow...very German. Got anything more Armenian-flavored?,Making a film can be pretty stressful on people's relationships.,"But a DIY project with friends who share similar niche interests, can lead to a good time for all!"
